,Unnamed: 0,tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,movieId,imdbId,tmdbId,randomNumber,Budget,Box Office,Rated,Metascore,IMDB Rating,IMDB Votes,Rotten Tomatoes
33,33,tt5938084,BuyBust,BuyBust,2018,127,"Action,Crime,Thriller",194126,5938084,496283.0,0.005846315209168,,178471,Not Rated,68.0,5.8,1800.0,83.0
34,34,tt0486655,Stardust,Stardust,2007,127,"Adventure,Family,Fantasy",54259,486655,2270.0,0.0059658429678622,70000000.0,135560026,PG-13,66.0,7.6,262681.0,77.0
35,35,tt0266391,The Cat's Meow,The Cat's Meow,2001,114,"Drama,Romance",5297,266391,35080.0,0.0061113991752086,7000000.0,3646994,PG-13,63.0,6.4,8141.0,75.0
36,36,tt1841642,Demonic,Demonic,2015,83,"Horror,Mystery,Thriller",129372,1841642,234212.0,0.0061322778993122,3000000.0,3387000,R,,5.3,14496.0,
37,37,tt1179069,6 Souls,6 Souls,2010,112,"Horror,Mystery,Thriller",81140,1179069,41505.0,0.0061662704982392,22000000.0,851517,R,28.0,6.1,33799.0,4.0
38,38,tt0200550,Coyote Ugly,Coyote Ugly,2000,100,"Comedy,Drama,Music",3825,200550,6282.0,0.006326286307153,45000000.0,113916474,PG-13,27.0,5.7,110728.0,23.0
39,39,tt8359816,Sorry We Missed You,Sorry We Missed You,2019,101,Drama,208040,8359816,522369.0,0.0063357512649844,,8766149,Not Rated,82.0,7.6,19715.0,88.0
40,40,tt5838806,Ann Mariya Kalippilanu,Ann Mariya Kalippilanu,2016,127,"Comedy,Drama",186705,5838806,411053.0,0.0063891087018449,,1500000,,,7.2,1327.0,
41,41,tt1216491,Kill the Messenger,Kill the Messenger,2014,112,"Biography,Crime,Drama",118354,1216491,245916.0,0.0068801726998006,5000000.0,5218973,R,60.0,6.9,45804.0,77.0
42,42,tt0279112,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack","Gojira, Mosura, Kingu Gidorâ: Daikaijû sôkôgeki",2001,105,"Action,Adventure,Fantasy",27455,279112,36243.0,0.0069542702903824,9400000.0,20000000,Not Rated,,7.1,5816.0,63.0
43,43,tt3569356,Not Cool,Not Cool,2014,93,"Comedy,Drama,Romance",114492,3569356,292483.0,0.0070416340465395,800000.0,36026,Not Rated,1.0,3.9,5720.0,14.0
44,44,tt2671706,Fences,Fences,2016,139,Drama,166705,2671706,393457.0,0.0072741080050532,24000000.0,64414761,PG-13,79.0,7.2,103255.0,92.0
45,45,tt5221894,Eteros ego,Eteros ego,2016,101,"Crime,Drama,Mystery",168462,5221894,421365.0,0.0074647482629738,,371528,,,7.9,9912.0,
46,46,tt1656186,Stolen,Stolen,2012,96,"Action,Crime,Thriller",98054,1656186,127493.0,0.0074738040309698,35000000.0,2106557,R,43.0,5.5,44349.0,20.0
47,47,tt7016254,Synonyms,Synonymes,2019,123,"Comedy,Drama",199065,7016254,501590.0,0.007498200409712,2500000.0,242483,Unrated,84.0,6.4,5387.0,
48,48,tt1151309,Bigger Stronger Faster*,Bigger Stronger Faster*,2008,105,"Documentary,Sport",59731,1151309,13636.0,0.0077773861777344,,307811,PG-13,80.0,7.6,13361.0,96.0
