tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,movieId,imdbId,tmdbId,randomNumber,Budget,Box Office
tt6768578,Dogman,Dogman,2018,103,"Crime,Drama,Thriller",188675,6768578,483184.0,9.3673333379507e-05,,5080147
tt1637706,Our Idiot Brother,Our Idiot Brother,2011,90,"Comedy,Drama",88672,1637706,59968.0,0.0001062674683353082,5000000.0,24816118
tt1486185,Red Riding Hood,Red Riding Hood,2011,100,"Fantasy,Horror,Mystery",85397,1486185,49730.0,0.00017668370376278109,42000000.0,89162162
tt1373243,Tarif Novogodniy,Tarif Novogodniy,2008,83,"Comedy,Fantasy,Romance",171549,1373243,50530.0,0.00019573776430070744,3200000.0,3877492
tt0337879,Blackball,Blackball,2003,96,"Comedy,Drama,Sport",32128,337879,15443.0,0.0002789138729473173,,48000
tt1375666,Inception,Inception,2010,148,"Action,Adventure,Sci-Fi",79132,1375666,27205.0,0.0005196018135207314,160000000.0,825532764
tt9795368,Conquest,Tobol,2019,108,"Action,Drama,History",203984,9795368,520552.0,0.0006254918239217977,,1964806
tt1446714,Prometheus,Prometheus,2012,124,"Adventure,Mystery,Sci-Fi",94864,1446714,70981.0,0.0006827597702401267,130000000.0,403170142
tt2345759,The Mummy,The Mummy,2017,111,"Action,Adventure,Fantasy",170827,2345759,282035.0,0.0007413530259173795,125000000.0,409231607
tt0324127,Suspect Zero,Suspect Zero,2004,99,"Crime,Horror,Mystery",8831,324127,8080.0,0.0007439975275166377,27000000.0,13000000
tt0247638,The Princess Diaries,The Princess Diaries,2001,115,"Comedy,Family,Romance",4700,247638,9880.0,0.0011856128924295772,37000000.0,165335153
tt4044364,Citizenfour,Citizenfour,2014,114,"Biography,Documentary,History",117533,4044364,293310.0,0.0012876838890404363,,3003169
tt4291600,Lady Macbeth,Lady Macbeth,2016,89,"Drama,Romance",169760,4291600,410117.0,0.0013295238180524027,,5245263
tt0342258,Unleashed,Unleashed,2005,103,"Action,Crime,Drama",33437,342258,10027.0,0.001460030558576797,45000000.0,50871113
tt0165982,Sinbad: Legend of the Seven Seas,Sinbad: Legend of the Seven Seas,2003,88,"Adventure,Animation,Comedy",6536,165982,14411.0,0.0015101727801708487,60000000.0,80767884
tt2948356,Zootopia,Zootopia,2016,108,"Adventure,Animation,Comedy",152081,2948356,269149.0,0.0015522959523017743,150000000.0,1023784195
tt4537362,"Kidnapping, Caucasian Style",Kavkazskaya plennitsa!,2014,95,Comedy,171479,4537362,330878.0,0.0015687579255089235,3500000.0,179000
tt2194499,About Time,About Time,2013,123,"Comedy,Drama,Fantasy",104374,2194499,122906.0,0.0018364812717647228,12000000.0,87100449
tt2121382,Force Majeure,Turist,2014,120,"Comedy,Drama",175813,2121382,265189.0,0.0018695887435945524,,4094339
tt0381270,Happily Ever After,Ils se marièrent et eurent beaucoup d'enfants,2004,100,"Comedy,Drama,Music",33898,381270,14653.0,0.002244236043744352,10900000.0,7725902
tt0880578,Untraceable,Untraceable,2008,101,"Crime,Mystery,Thriller",57526,880578,8090.0,0.002755810666651981,35000000.0,52659594
tt0238948,Double Take,Double Take,2001,88,"Action,Comedy,Crime",4053,238948,18828.0,0.002778668492716463,24000000.0,31600000
tt1999987,Breathe In,Breathe In,2013,98,"Drama,Romance",109629,1999987,158907.0,0.0029992667366427472,,89661
tt4129428,Jagga Jasoos,Jagga Jasoos,2017,161,"Action,Adventure,Comedy",184231,4129428,401285.0,0.003300150536058255,19700000.0,12500000
tt1377278,Defamation,Hashmatsa,2009,91,Documentary,185515,1377278,56895.0,0.0035518949210282535,1000000.0,11410
tt1926313,Pyaar Ka Punchnama,Pyaar Ka Punchnama,2011,149,"Comedy,Drama,Romance",103050,1926313,65521.0,0.003695199018085682,1400000.0,7200000
tt1410063,The Flowers of War,Jin ling shi san chai,2011,146,"Drama,History,Romance",92243,1410063,76758.0,0.00447378145362709,94000000.0,95311434
tt1410051,Retreat,Retreat,2011,90,"Drama,Thriller",93024,1410051,73936.0,0.00466347938621392,,4498
tt0419749,Find Me Guilty,Find Me Guilty,2006,125,"Biography,Comedy,Crime",44197,419749,9950.0,0.00503525685816808,13000000.0,2636637
tt3508112,I'm Not Angry!,Asabani Nistam!,2014,110,"Drama,Romance",181701,3508112,314449.0,0.00514792302603595,10000.0,100000
tt7818580,While at War,Mientras dure la guerra,2019,107,"Drama,History,War",206931,7818580,542921.0,0.005238441485552969,4735684.0,12277353
tt1270835,Hatchet II,Hatchet II,2010,85,"Action,Comedy,Horror",82366,1270835,43919.0,0.005402237484482542,2500000.0,156190
tt0381681,Before Sunset,Before Sunset,2004,80,"Drama,Romance",8638,381681,80.0,0.005507409060454327,2700000.0,15992615
tt5938084,BuyBust,BuyBust,2018,127,"Action,Crime,Thriller",194126,5938084,496283.0,0.005846315209168007,,178471
tt0486655,Stardust,Stardust,2007,127,"Adventure,Family,Fantasy",54259,486655,2270.0,0.005965842967862289,70000000.0,135560026
tt0266391,The Cat's Meow,The Cat's Meow,2001,114,"Drama,Romance",5297,266391,35080.0,0.006111399175208643,7000000.0,3646994
tt1841642,Demonic,Demonic,2015,83,"Horror,Mystery,Thriller",129372,1841642,234212.0,0.006132277899312255,3000000.0,3387000
tt1179069,6 Souls,6 Souls,2010,112,"Horror,Mystery,Thriller",81140,1179069,41505.0,0.006166270498239257,22000000.0,851517
tt0200550,Coyote Ugly,Coyote Ugly,2000,100,"Comedy,Drama,Music",3825,200550,6282.0,0.0063262863071530395,45000000.0,113916474
tt8359816,Sorry We Missed You,Sorry We Missed You,2019,101,Drama,208040,8359816,522369.0,0.006335751264984424,,8766149
tt5838806,Ann Mariya Kalippilanu,Ann Mariya Kalippilanu,2016,127,"Comedy,Drama",186705,5838806,411053.0,0.006389108701844948,,1500000
tt1216491,Kill the Messenger,Kill the Messenger,2014,112,"Biography,Crime,Drama",118354,1216491,245916.0,0.00688017269980068,5000000.0,5218973
tt0279112,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack","Gojira, Mosura, Kingu Gidorâ: Daikaijû sôkôgeki",2001,105,"Action,Adventure,Fantasy",27455,279112,36243.0,0.006954270290382425,9400000.0,20000000
tt3569356,Not Cool,Not Cool,2014,93,"Comedy,Drama,Romance",114492,3569356,292483.0,0.007041634046539569,800000.0,36026
tt2671706,Fences,Fences,2016,139,Drama,166705,2671706,393457.0,0.007274108005053237,24000000.0,64414761
tt5221894,Eteros ego,Eteros ego,2016,101,"Crime,Drama,Mystery",168462,5221894,421365.0,0.00746474826297383,,371528
tt1656186,Stolen,Stolen,2012,96,"Action,Crime,Thriller",98054,1656186,127493.0,0.007473804030969866,35000000.0,2106557
tt7016254,Synonyms,Synonymes,2019,123,"Comedy,Drama",199065,7016254,501590.0,0.0074982004097120525,2500000.0,242483
tt1151309,Bigger Stronger Faster*,Bigger Stronger Faster*,2008,105,"Documentary,Sport",59731,1151309,13636.0,0.007777386177734491,,307811
tt3064298,Man Up,Man Up,2015,88,"Comedy,Drama,Romance",132660,3064298,332340.0,0.007958375128929052,,3000000
tt1034415,Suspiria,Suspiria,2018,152,"Fantasy,Horror,Mystery",176801,1034415,361292.0,0.008252934915642829,20000000.0,6348889
tt1313104,The Cove,The Cove,2009,92,"Biography,Crime,Documentary",71462,1313104,23128.0,0.008253441605298728,,1162422
tt0180093,Requiem for a Dream,Requiem for a Dream,2000,102,Drama,3949,180093,641.0,0.008647837332268482,4500000.0,7390108
tt3179568,"Men, Women & Children","Men, Women & Children",2014,119,"Comedy,Drama",119068,3179568,243684.0,0.008812945966128916,,461162
tt2372678,2 States,2 States,2014,149,"Comedy,Drama,Romance",154470,2372678,259720.0,0.009105126981960199,4587786.0,22414611
tt0492466,Iraq in Fragments,Iraq in Fragments,2006,94,"Documentary,War",51457,492466,34389.0,0.009279595326486034,,202000
tt7158430,Hearts Beat Loud,Hearts Beat Loud,2018,97,"Comedy,Drama,Music",186953,7158430,470333.0,0.009284704489300077,2000000.0,2115765
tt2823054,Mike and Dave Need Wedding Dates,Mike and Dave Need Wedding Dates,2016,98,"Comedy,Romance",160567,2823054,316023.0,0.009597764274813625,33000000.0,77068246
tt1592525,Lockout,Lockout,2012,95,"Action,Sci-Fi,Thriller",93563,1592525,81796.0,0.009605278001844852,20000000.0,32204030
tt0449086,Dominion,Dominion: Prequel to the Exorcist,2005,117,"Drama,Horror,Thriller",33644,449086,12700.0,0.009633870881645135,30000000.0,251495
